continent,location,date,population,new_vaccinations,RollingPeopleVaccinated
Europe,Albania,12/24/2020,2877800,,421
Europe,Albania,12/25/2020,2877800,,421
Europe,Albania,12/26/2020,2877800,,421
Europe,Albania,12/27/2020,2877800,,421
Europe,Albania,12/28/2020,2877800,,421
Europe,Albania,12/29/2020,2877800,,421
Europe,Albania,12/3/2020,2877800,,421
Europe,Albania,12/30/2020,2877800,,421
Europe,Albania,12/31/2020,2877800,,421
Europe,Albania,12/4/2020,2877800,,421
Europe,Albania,12/5/2020,2877800,,421
Europe,Albania,12/6/2020,2877800,,421
Europe,Albania,12/7/2020,2877800,,421
Europe,Albania,12/8/2020,2877800,,421
Europe,Albania,12/9/2020,2877800,,421
Europe,Albania,2/1/2021,2877800,,421
Europe,Albania,2/10/2021,2877800,,421
Europe,Albania,2/11/2021,2877800,,421
Europe,Albania,2/12/2021,2877800,,421
Europe,Albania,2/13/2021,2877800,,421
Europe,Albania,2/14/2021,2877800,,421
Europe,Albania,2/15/2021,2877800,,421
Europe,Albania,2/16/2021,2877800,,421
Europe,Albania,2/17/2021,2877800,,421
Europe,Albania,2/18/2021,2877800,1348,1769
Europe,Albania,2/19/2021,2877800,1128,2897
Europe,Albania,2/2/2021,2877800,,2897
Europe,Albania,2/20/2021,2877800,,2897
Europe,Albania,2/21/2021,2877800,,2897
Europe,Albania,2/22/2021,2877800,,2897
Europe,Albania,2/23/2021,2877800,,2897
Europe,Albania,2/24/2021,2877800,,2897
Europe,Albania,2/25/2020,2877800,,2897
Europe,Albania,2/25/2021,2877800,,2897
Europe,Albania,2/26/2020,2877800,,2897
Europe,Albania,2/26/2021,2877800,,2897
Europe,Albania,2/27/2020,2877800,,2897
Europe,Albania,2/27/2021,2877800,,2897
Europe,Albania,2/28/2020,2877800,,2897
Europe,Albania,2/28/2021,2877800,,2897
Europe,Albania,2/29/2020,2877800,,2897
Europe,Albania,2/3/2021,2877800,,2897
Europe,Albania,2/4/2021,2877800,,2897
Europe,Albania,2/5/2021,2877800,,2897
Europe,Albania,2/6/2021,2877800,,2897
Europe,Albania,2/7/2021,2877800,,2897
Europe,Albania,2/8/2021,2877800,,2897
